ch= 0	 tth= 11
ch= 1	 tth= 6
ch= 2	 tth= 9
ch= 3	 tth= 11
ch= 4	 tth= 12
ch= 5	 tth= 9
ch= 6	 tth= 16
ch= 7	 tth= 8
ch= 8	 tth= 12
ch= 9	 tth= 10
ch= 10	 tth= 8
ch= 11	 tth= 15
ch= 12	 tth= 8
ch= 13	 tth= 16
ch= 14	 tth= 17
ch= 15	 tth= 9
ch= 16	 tth= 5
ch= 17	 tth= 11
ch= 18	 tth= 12
ch= 19	 tth= 16
ch= 20	 tth= 9
ch= 21	 tth= 13
ch= 22	 tth= 14
ch= 23	 tth= 17
ch= 24	 tth= 13
ch= 25	 tth= 10
ch= 26	 tth= 10
ch= 27	 tth= 16
ch= 28	 tth= 10
ch= 29	 tth= 17
ch= 30	 tth= 14
ch= 31	 tth= 14
ch= 32	 tth= 8
ch= 33	 tth= 9
ch= 34	 tth= 8
ch= 35	 tth= 5
ch= 36	 tth= 9
ch= 37	 tth= 9
ch= 38	 tth= 7
ch= 39	 tth= 13
ch= 40	 tth= 10
ch= 41	 tth= 6
ch= 42	 tth= 8
ch= 43	 tth= 13
ch= 44	 tth= 5
ch= 45	 tth= 9
ch= 46	 tth= 15
ch= 47	 tth= 10
ch= 48	 tth= 9
ch= 49	 tth= 7
ch= 50	 tth= 12
ch= 51	 tth= 6
ch= 52	 tth= 11
ch= 53	 tth= 17
ch= 54	 tth= 11
ch= 55	 tth= 12
ch= 56	 tth= 6
ch= 57	 tth= 16
ch= 58	 tth= 9
ch= 59	 tth= 16
ch= 60	 tth= 10
ch= 61	 tth= 12
ch= 62	 tth= 12
ch= 63	 tth= 8
