ch= 5	 All points have f=0kHz
ch= 7	 All points have f=0kHz
ch= 12	 Frequencies lower than 10 kHz
ch= 13	 All points have f=0kHz
ch= 14	 > 15 points with f=0kHz kHz
ch= 15	 All points have f=0kHz
ch= 16	 All points have f=0kHz
ch= 18	 All points have f=0kHz
ch= 19	 All points have f=0kHz
ch= 21	 All points have f=0kHz
ch= 25	 All points have f=0kHz
ch= 27	 All points have f=0kHz
ch= 31	 All points have f=0kHz
ch= 33	 All points have f=0kHz
ch= 37	 All points have f=0kHz
ch= 43	 > 15 points with f=0kHz kHz
ch= 44	 Freq(chosen_TTH) is larger than 500 kHz
ch= 45	 > 15 points with f=0kHz kHz
ch= 49	 All points have f=0kHz
ch= 51	 All points have f=0kHz
